,X,Name,Comp.1,
1910,2007_06_05_PC_Domestic_Hampton_BO.txt,Obama,-1.379426336,
782,2008_04_14_PC_Domestic_AP_Econ_BO.txt,Obama,-1.376159463,
361,2007_10_08_PC_Domestic_Energy_BO.txt,Obama,-1.362293593,
1502,2015_11_29_PC_Jeff_Jack_NH_BS.txt,Sanders,-1.352035572,
66,2008_01_31_PC_Stump_Opening_Debate_CA.txt,08vsObama,-1.319197607,
48,2007_11_29_PC_Health_AIDS.txt,08vsObama,-1.306120453,
942,2008_05_18_PC_Domestic_Retirement_BO.txt,Obama,-1.275922815,
972,2008_05_21_PC_Stump_Des Moines_BO.txt,Obama,-1.236292093,
1442,2015_10_24_PC_Jeff_Jack_IA_BS.txt,Sanders,-1.173452782,
892,2008_05_09_PC_Domestic_Economy_OR_BO.txt,Obama,-1.146115171,
351,2007_10_02_PC_Foreign_Chicago_BO.txt,Obama,-1.144012236,
571,2008_01_30_PC_Stump_Past_Future_CO_BO.txt,Obama,-1.137891087,
1122,2015_03_09_PC_Natl_Press_Club_BS.txt,Sanders,-1.120625206,
117,2015_06_20_PC_Conf_Mayors.txt,16vsSanders,-1.106457061,
721,2016_07_11_GE_Veterans_VA_DT.txt,Trump,-1.090095355,
211,2016_06_22_GE_Econ_Raleigh.txt,16vsTrump,-1.087498534,
1482,2015_11_14_PC_CBS_Debate_IA_Open_BS.txt,Sanders,-1.087261986,
1631,2016_02_03_PC_CNN_Town_Hall_NH_Close_BS.txt,Sanders,-1.079019089,
1661,2016_02_09_PC_New_Hamp_Vic_BS.txt,Sanders,-1.078143008,
1031,2016_08_31_GE_Press_Conf_Mexico_DT.txt,Trump,-1.07140383,
49,2007_12_03_PC_Stump_Cedar_Lake_IA.txt,08vsObama,-1.061807746,
1322,2015_07_31_PC_Urban_Leag_BS.txt,Sanders,-1.042331047,
1081,2016_09_07_GE_Union_Leag_PA_DT.txt,Trump,-1.042220296,
741,2016_07_21_GE_RNC_OH_DT.txt,Trump,-1.006043818,
209,2016_06_13_PC_Orlando.txt,16vsSanders,-0.996268898,
24,2007_07_24_PC_Domestic_Green Energy.txt,08vsObama,-0.984949266,
962,2008_05_20_PC_Stump_Change_BO.txt,Obama,-0.956685132,
1091,2016_09_08_GE_School_Choice_Cleve_OH_DT.txt,Trump,-0.950909695,
1542,2015_12_19_PC_CNN_Debate_NH_Open_BS.txt,Sanders,-0.932220749,
128,2015_09_09_PC_Iran_Nuclear.txt,16vsSanders,-0.924833081,
1651,2016_02_04_PC_MSNBC_Debate_NH_Open_BS.txt,Sanders,-0.922468204,
1352,2015_08_15_PC_Iowa_State_Fair_BS.txt,Sanders,-0.912216533,
2,2006_06_23_PC_Domestic_New_Dem.txt,08vsObama,-0.903658532,
110,2015_05_19_PC_Cedar_Falls_IA.txt,16vsSanders,-0.880691482,
2410,2007_07_05_PC_Domestic_Education_BO.txt,Obama,-0.875957425,
301,2007_09_03_PC_Stump_Labor_Day_BO.txt,Obama,-0.873494776,
872,2008_05_03_PC_Stump_Indiana_BO.txt,Obama,-0.860895307,
371,2007_10_12_PC_Foreign_Iraq_IA_BO.txt,Obama,-0.847718405,
31,2007_09_15_PC_Domestic_Civil Rights.txt,08vsObama,-0.838122119,
710,2007_02_10_PC_Stump_Announce_BO.txt,Obama,-0.835857835,
98,2008_06_04_PC_Foreign_Israel.txt,08vsObama,-0.833352212,
682,2008_03_04_PC_Stump_OH_RI_TX_BO.txt,Obama,-0.806643017,
113,2015_06_04_PC_Voting_Rights.txt,16vsSanders,-0.791988157,
752,2008_04_04_PC_Domestic_MLK_BO.txt,Obama,-0.78386875,
1422,2015_10_13_PC_CNN_Debate_NV_Close_BS.txt,Sanders,-0.780773473,
1131,2016_09_15_GE_Economic_Club_NY_DT.txt,Trump,-0.777148563,
80,2008_03_19_PC_Stump_Solutions.txt,08vsObama,-0.776788557,
1901,2016_07_25_PC_DNC_BS.txt,Sanders,-0.768212367,
235,2016_08_11_GE_Economic_MI.txt,16vsTrump,-0.753154442,
521,2008_01_22_PC_Domestic_Economy_SC_BO.txt,Obama,-0.742494508,
61,2008_01_24_PC_Domestic_Economy.txt,08vsObama,-0.732104912,
171,2016_03_04_PC_Manufact_Detroit.txt,16vsSanders,-0.719184789,
166,2016_02_16_PC_Harlem_NY.txt,16vsSanders,-0.706636617,
1041,2016_09_01_GE_Am_Legion_OH_DT.txt,Trump,-0.706595043,
662,2008_02_21_PC_Stump_Open_TX_Debate_BO.txt,Obama,-0.686033441,
471,2007_12_27_PC_Stump_Moment_Now_BO.txt,Obama,-0.647250585,
391,2007_11_03_PC_Stump_Election_SC_BO.txt,Obama,-0.63704228,
2610,2007_07_26_PC_Stump_College_Dems_BO.txt,Obama,-0.59488652,
2110,2007_06_19_PC_Stump_Take_Back_BO.txt,Obama,-0.573733052,
1191,2016_10_03_GE_Retired_Am_Warriors_VA_DT.txt,Trump,-0.573541886,
15,2007_03_15_PC_Domestic_Lending.txt,08vsObama,-0.549286257,
170,2016_03_01_PC_Super_Tues.txt,16vsSanders,-0.549044194,
86,2008_04_12_PC_Stump_IN.txt,08vsObama,-0.530280177,
921,2016_08_18_GE_Charlotte_NC_DT.txt,Trump,-0.526278447,
882,2008_05_06_PC_Stump_IN_NC_BO.txt,Obama,-0.522762479,
501,2008_01_20_PC_Domestic_Af_Am_Exp_BO.txt,Obama,-0.522521022,
451,2007_12_05_PC_Domestic_Public_Serv_BO.txt,Obama,-0.521674448,
842,2008_04_22_PC_Stump_PA_Victory_BO.txt,Obama,-0.500760194,
172,2016_03_05_PC_Michigan_Prim.txt,16vsSanders,-0.491783862,
802,2008_04_15_PC_Domestic_Build_Trades_BO.txt,Obama,-0.480151941,
1010,2007_03_14_PC_Stump_Firefighters_BO.txt,Obama,-0.474693971,
11,2007_03_04_PC_Domestic_Civil Rights.txt,08vsObama,-0.468665995,
2310,2007_06_23_PC_Stump_Conscience_CT_BO.txt,Obama,-0.457974006,
185,2016_04_11_PC_Gun_Violence_NY.txt,16vsSanders,-0.449352794,
1,2006_06_13_PC_Domestic_Take_Back.txt,08vsObama,-0.440712934,
40,2007_11_02_PC_Health_Special Ed.txt,08vsObama,-0.385996554,
1791,2016_04_14_PC_NY_Debate_Opening_BS.txt,Sanders,-0.328306389,
401,2007_11_07_PC_Domestic_Am_Dream_BO.txt,Obama,-0.320799366,
35,2007_10_09_PC_Domestic_Taxes_SS.txt,08vsObama,-0.318608084,
1410,2007_05_02_PC_Stump_CA_Dems_BO.txt,Obama,-0.286164615,
1101,2016_09_09_GE_Pensacola_FL_DT.txt,Trump,-0.284456024,
621,2008_02_12_PC_Stump_MD_VA_DC_BO.txt,Obama,-0.282049991,
1581,2016_01_21_PC_Wolfeboro_NH_BS.txt,Sanders,-0.259945323,
114,2015_06_13_PC_Launch.txt,16vsSanders,-0.257504564,
68,2008_02_09_PC_Stump_Jeff_Jack_VA.txt,08vsObama,-0.242202369,
208,2016_06_10_PC_Planned_Parenthood.txt,16vsSanders,-0.235784591,
36,2007_10_11_PC_Domestic_College.txt,08vsObama,-0.219203181,
181,2016_04_01_PC_Apollo_Theater.txt,16vsSanders,-0.212723282,
239,2016_08_25_GE_Trump_Racist_NV.txt,16vsTrump,-0.209183551,
155,2016_01_17_PC_Open_State_Dem_Debate_SC.txt,16vsSanders,-0.208707185,
189,2016_04_13_PC_Immigration_Off.txt,16vsSanders,-0.207907846,
164,2016_02_11_PC_Closing_PBS_Debate_Milwau.txt,16vsSanders,-0.201220009,
206,2016_06_03_PC_Natl_Sec.txt,16vsSanders,-0.19168901,
65,2008_01_31_PC_Stump_Atlanta.txt,08vsObama,-0.175410901,
29,2007_08_20_PC_Domestic_Veterans.txt,08vsObama,-0.163955434,
95,2008_05_21_PC_Domestic_Elections.txt,08vsObama,-0.160755073,
991,2016_08_25_GE_Manchester_DT.txt,Trump,-0.151361526,
169,2016_02_27_PC_S_Carolina.txt,16vsSanders,-0.148582081,
84,2008_04_05_PC_Stump_MT.txt,08vsObama,-0.135244022,
215,2016_07_12_GE_Sanders_NH.txt,16vsTrump,-0.134285237,
1601,2016_01_26_PC_Steelworkers_IA_BS.txt,Sanders,-0.124050405,
216,2016_07_13_GE_Am_Values_IL.txt,16vsTrump,-0.121902986,
243,2016_09_08_GE_Baptist_Conv_KC.txt,16vsTrump,-0.114825687,
561,2008_01_29_PC_Domestic_Economy_KS_BO.txt,Obama,-0.110967809,
47,2007_11_28_PC_Health_Clinton Plan_Excerpts.txt,08vsObama,-0.107522062,
17,2007_05_19_PC_Domestic_Katrina.txt,08vsObama,-0.07692736,
691,2016_06_22_GE_Anti_Hillary_NY_DT.txt,Trump,-0.076462078,
217,2016_07_18_GE_NAACP_Cincinn.txt,16vsTrump,-0.074348803,
133,2015_10_13_PC_Closing_State_CNN_Debate.txt,16vsSanders,-0.071124366,
1710,2007_05_19_PC_Domestic_Grad_NHU_BO.txt,Obama,-0.069981981,
46,2007_11_24_PC_Health_Autism.txt,08vsObama,-0.058394766,
1100,2006_06_14_PC_Domestic_Take_Back_BO.txt,Obama,-0.056902238,
76,2008_03_01_PC_Foreign_Iraq_Afghan.txt,08vsObama,-0.025818049,
38,2007_10_24_PC_Women_History_Rights.txt,08vsObama,-0.009490859,
1132,2015_04_30_PC_Announce_BS.txt,Sanders,0.020567012,
792,2008_04_14_PC_Domestic_Manufac_PA_BO.txt,Obama,0.025573245,
119,2015_06_26_PC_Jeff_Jack_Dinner.txt,16vsSanders,0.032763697,
232,2016_08_05_GE_NABJ_NAHJ.txt,16vsTrump,0.032769733,
611,2008_02_09_PC_Stump_Jeff_Jack_VA_BO.txt,Obama,0.042272022,
1701,2016_02_27_PC_Future_Believe_MN_BS.txt,Sanders,0.057419646,
1392,2015_09_14_PC_Liberty_VA_BS.txt,Sanders,0.067113131,
220,2016_07_26_GE_Kaine_Miami_FL.txt,16vsTrump,0.068372651,
143,2015_11_29_PC_Jeff_Jack_Dinner.txt,16vsSanders,0.095746677,
1881,2016_06_23_PC_Where_Do_We_Go_NY_BS.txt,Sanders,0.100091,
83,2008_04_04_PC_Domestic_King.txt,08vsObama,0.104840667,
153,2016_01_11_PC_Taxes_IA.txt,16vsSanders,0.109512803,
28,2007_08_15_PC_Health_Long-Term Care.txt,08vsObama,0.112420472,
140,2015_11_14_PC_Open_State_Iowa_Debate.txt,16vsSanders,0.120766153,
144,2015_12_01_PC_Mont_Bus_60.txt,16vsSanders,0.122158664,
257,2016_10_11_GE_Gore_FL.txt,16vsTrump,0.135129288,
1021,2016_08_31_GE_Immigration_AZ_DT.txt,Trump,0.146830894,
1611,2016_02_01_PC_Waterloo_IA_BS.txt,Sanders,0.150223389,
832,2008_04_16_PC_Stump_Open_PA_Debate_BO.txt,Obama,0.166098508,
951,2016_08_22_GE_Law_Order_Akron_DT.txt,Trump,0.179955119,
82,2008_04_01_PC_Domestic_Labor.txt,08vsObama,0.18199742,
26,2007_08_07_PC_Domestic_Housing.txt,08vsObama,0.193638175,
1002,2008_05_26_PC_Foreign_Memorial_Day_BO.txt,Obama,0.223940385,
145,2015_12_04_PC_Carpenter_Traininig.txt,16vsSanders,0.2255063,
1311,2016_10_13_GE_Sexual_Assault_DT.txt,Trump,0.237386312,
213,2016_07_05_GE_Obama_Charlotte.txt,16vsTrump,0.241010794,
541,2008_01_28_PC_Stump_Kennedy_Endorse_BO.txt,Obama,0.24649094,
55,2008_01_04_PC_Stump_Milford_NH.txt,08vsObama,0.247613567,
165,2016_02_11_PC_Opening_PBS_Debate_Milwaukee.txt,16vsSanders,0.267949139,
531,2008_01_26_PC_Stump_Victory_SC_BO.txt,Obama,0.270654482,
197,2016_04_26_PC_Unity_Phila.txt,16vsSanders,0.272258053,
952,2008_05_19_PC_Stump_THall_MT_BO.txt,Obama,0.276278806,
204,2016_05_23_PC_SEIU.txt,16vsSanders,0.299447056,
25,2007_07_27_PC_Domestic_Race.txt,08vsObama,0.351097413,
199,2016_05_03_PC_Jobs_OH.txt,16vsSanders,0.365359743,
58,2008_01_14_PC_Domestic_Civil Rights.txt,08vsObama,0.378439968,
198,2016_05_01_PC_NAACP_Detroit.txt,16vsSanders,0.378637435,
75,2008_02_27_PC_Domestic_Economy.txt,08vsObama,0.384684156,
1111,2016_09_12_GE_National_Guard_MD_DT.txt,Trump,0.385036864,
491,2008_01_08_PC_Stump_Defeat_NH_BO.txt,Obama,0.387016055,
131,2015_09_19_PC_NH_DNC.txt,16vsSanders,0.395566405,
71,2008_02_19_PC_Stump_OH.txt,08vsObama,0.399577733,
160,2016_02_04_PC_Closing_MSNBC_Debate_NH.txt,16vsSanders,0.424217435,
63,2008_01_28_PC_Stump_CT.txt,08vsObama,0.424583775,
127,2015_09_01_PC_DNC.txt,16vsSanders,0.427826108,
72,2008_02_20_PC_Stump_Hunter_College.txt,08vsObama,0.428663229,
37,2007_10_16_PC_Women_Family.txt,08vsObama,0.429843378,
441,2007_11_30_PC_Stump_DNC_BO.txt,Obama,0.445828789,
99,2008_06_07_PC_Stump_Concession.txt,08vsObama,0.470626769,
118,2015_06_25_PC_Conf_Flag_Racism.txt,16vsSanders,0.471111271,
256,2016_10_02_GE_Crim_Justice_NC.txt,16vsTrump,0.509380071,
1711,2016_03_01_PC_Super_Tues_VT_BS.txt,Sanders,0.521779314,
1621,2016_02_02_PC_Iowa_Caucus_BS.txt,Sanders,0.524491748,
247,2016_09_15_GE_Latino_Caucus_Birther_DC.txt,16vsTrump,0.531744162,
1691,2016_02_20_PC_Nevada_Cau_BS.txt,Sanders,0.535751014,
1741,2016_03_08_PC_New_Hamp_Vic_BS.txt,Sanders,0.537540895,
130,2015_09_16_PC_Women_Hillary.txt,16vsSanders,0.573868993,
210,2016_06_14_PC_Trump_Orlando.txt,16vsSanders,0.578830851,
102,2015_02_24_PC_Women_Silicon_Valley.txt,16vsSanders,0.587663297,
1491,2016_11_02_GE_Miami_FL_DT.txt,Trump,0.592714752,
203,2016_05_21_PC_Circle_Mothers.txt,16vsSanders,0.613384208,
249,2016_09_16_GE_Black_Women_Sym_DC.txt,16vsTrump,0.61859373,
146,2015_12_04_PC_Econ_Women_NH.txt,16vsSanders,0.63116965,
196,2016_04_26_PC_Manufacture_IN.txt,16vsSanders,0.63784977,
100,2008_08_26_PC_Stump_DNC_Con.txt,08vsObama,0.643454842,
148,2015_12_14_PC_Immigration.txt,16vsSanders,0.645850054,
42,2007_11_10_PC_Domestic_Stock Speech.txt,08vsObama,0.659218591,
43,2007_11_10_PC_Stump_Jeff_Jack.txt,08vsObama,0.659218591,
18,2007_05_21_PC_Domestic_Pre-K.txt,08vsObama,0.664192134,
121,2015_07_16_PC_Economy_lst_Townhall.txt,16vsSanders,0.6661894,
193,2016_04_19_PC_New_York.txt,16vsSanders,0.669742087,
221,2016_07_26_GE_LULAC_DC.txt,16vsTrump,0.670488769,
39,2007_11_01_PC_Women_Wellesley.txt,08vsObama,0.68013587,
240,2016_08_31_GE_Am_Legion_OH.txt,16vsTrump,0.683356578,
174,2016_03_06_PC_CNN_Debate_Open.txt,16vsSanders,0.68899764,
961,2016_08_23_GE_Austin_TX_DT.txt,Trump,0.690031211,
1591,2016_01_25_PC_CNN_Townhall_IA_Close_BS.txt,Sanders,0.703641551,
70,2008_02_16_PC_Stump_WI.txt,08vsObama,0.726142131,
1211,2016_10_04_GE_Stump_Prescott_V_AZ_DT.txt,Trump,0.727889458,
154,2016_01_17_PC_Closing_State_Dem_Debate_SC.txt,16vsSanders,0.72794622,
1231,2016_10_05_GE_Stump_Reno_NV_DT.txt,Trump,0.733342538,
411,2007_11_10_PC_Stump_Jeff_Jack_BO.txt,Obama,0.741767104,
124,2015_08_11_PC_College_Costs_NH.txt,16vsSanders,0.743672631,
93,2008_05_13_PC_Stump_WV.txt,08vsObama,0.751258925,
