,X,Academic_Language..Low.Frequency.,Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative,Name,
39,2015_11_14_PC_Closing_State_Iowa_Debate.txt,2.62,0.52,2.62,1.57,0.52,10.99,0,0.52,0,2.62,4.71,4.71,1.57,0,6.28,0,3.66,0,4.71,2.09,2.09,1.57,2.09,0.52,5.76,1.57,0.52,0,16vsSanders,Clinton
40,2015_11_14_PC_Open_State_Iowa_Debate.txt,3.65,0,0.73,3.65,0.73,9.49,0,2.19,0,0.73,2.19,4.38,2.19,0,3.65,0.73,1.46,0,2.92,1.46,2.92,1.46,7.3,2.92,7.3,2.19,1.46,1.46,16vsSanders,Clinton
41,2015_11_19_PC_CFR.txt,5.42,0.15,0.92,4.98,0.73,12.92,0.42,2.47,0,1.78,0.94,3.75,0.75,0.29,3.56,0.5,2.18,0.5,4.21,0.9,1.95,0.84,3.02,2.18,8.19,1.88,2.87,0.77,16vsSanders,Clinton
42,2015_11_22_PC_TownHall_Clinton_IA.txt,5.46,0.99,0.65,3.96,0.6,11.27,0.6,0.73,0.09,1.55,3.27,3.01,1.03,0.3,3.53,0.52,2.32,0.99,5.51,1.08,1.68,1.68,2.28,0.34,7.62,1.12,1.85,0.34,16vsSanders,Clinton
43,2015_11_29_PC_Jeff_Jack_Dinner.txt,5.38,0.32,0.75,4.11,1.17,10.58,0.81,1.31,0.04,1.97,2.48,2.88,0.99,0.22,5.02,0.52,2.1,0.64,4.45,0.95,1.65,0.85,3.18,0.97,7.37,1.51,2.18,0.52,16vsSanders,Clinton
44,2015_12_01_PC_Mont_Bus_60.txt,3.15,0.48,0.66,4.86,0.66,10.21,0.69,1.23,0.03,2.04,2.28,3.72,0.72,0.33,3.63,0.54,2.94,1.5,5.83,1.47,2.22,1.2,2.61,0.93,6.88,1.08,2.52,0.78,16vsSanders,Clinton
45,2015_12_04_PC_Carpenter_Traininig.txt,5.24,2.35,0.61,4.74,0.93,9.42,0.45,1.63,0.07,1.6,3,3.12,0.99,0.25,4.04,0.72,2.33,1.11,5.24,0.79,1.33,1.04,2.3,0.68,7.2,1.54,1.69,0.29,16vsSanders,Clinton
46,2015_12_04_PC_Econ_Women_NH.txt,6.28,0.31,1.17,4.14,1.06,10.31,0.71,0.91,0,2.14,2.6,3.88,1.06,0.23,4.54,0.43,2.11,0.6,5.37,1.09,1.17,1.46,2.14,1.26,7.85,1.48,2.06,0.4,16vsSanders,Clinton
47,2015_12_05_PC_ISIS_Brookings.txt,5.08,0.54,0.84,4.5,0.97,13.83,0.48,1.99,0,1.56,1.19,3.55,1.28,0.22,3.57,0.39,2.49,0.43,4.43,1.02,1.45,1.15,3.48,1.82,8.17,1.58,3.24,0.8,16vsSanders,Clinton
48,2015_12_14_PC_Immigration.txt,4.45,0.07,1.11,4.41,0.82,11.01,0.37,0.89,0.04,1.82,2.15,3.97,1.41,0.3,4.63,0.37,2.41,0.63,5.71,1.56,2.08,1.08,2.6,1.11,7.6,1.45,2.04,0.3,16vsSanders,Clinton
49,2015_12_15_PC_Homeland_Security.txt,4.89,0.41,0.69,4.31,0.8,11.75,0.58,2.31,0,2.31,1.85,3.19,0.82,0.32,3.97,0.43,2.29,0.54,5.03,0.97,2.39,0.95,3.15,2,7.27,1.9,2.87,0.52,16vsSanders,Clinton
50,2015_12_19_PC_Opening_State_Dem_Debate.txt,3.69,0,0,5.74,1.64,15.57,0.82,1.64,0,1.23,4.1,1.64,0.41,0,3.69,0,2.87,0,4.92,0.41,2.46,1.23,3.69,2.05,6.97,2.46,1.23,0,16vsSanders,Clinton
51,2015_12_29_PC_Town_Hall_Portsmouth_NH.txt,4.31,0.07,0.82,4.23,0.89,11.06,1.19,0.74,0,2.52,4.31,2.82,1.34,0.3,5.05,0.37,2,0.52,3.27,0.74,1.04,2.08,2.6,1.11,6.83,1.48,1.34,0.37,16vsSanders,Clinton
52,2016_01_07_PC_Asian_Pac_Islander.txt,5.23,0.28,0.74,4.37,0.67,10.89,0.51,0.67,0.02,1.56,3.44,3.25,1,0.37,4.99,0.51,2.81,0.91,6.15,1.05,1.67,1.51,2.74,0.95,7.22,1.35,2.21,0.23,16vsSanders,Clinton
53,2016_01_11_PC_Taxes_IA.txt,5.27,0.55,0.74,3.84,0.85,9.87,0.36,1.29,0,2.17,3.15,3.43,1.21,0.41,4.47,0.71,2.96,1.04,3.81,0.96,1.7,1.26,2.25,1.07,7.84,2.28,1.67,0.47,16vsSanders,Clinton
54,2016_01_17_PC_Closing_State_Dem_Debate_SC.txt,3.14,0,1.35,6.28,0.9,12.11,0.45,2.24,0,0,3.59,1.79,0,0.45,2.69,0.45,1.79,4.48,4.93,1.35,1.35,0.9,2.24,0,9.42,0,0.45,1.35,16vsSanders,Clinton
55,2016_01_17_PC_Open_State_Dem_Debate_SC.txt,0.48,0,0,4.81,0,13.94,0.48,0,0,2.4,6.25,1.92,0.48,0,4.81,0,3.85,0.48,8.17,0,3.85,1.44,3.37,0.96,5.77,0.48,3.85,0,16vsSanders,Clinton
56,2016_01_26_PC_Marshalltown_IA.txt,5.68,0.31,0.78,3.94,1.25,9.77,0.35,0.96,0,2.25,4.01,2.87,1.31,0.24,4.65,0.31,1.89,1.05,4.47,1.09,1.51,1.8,2.27,1.11,6.37,1.76,1.69,0.38,16vsSanders,Clinton
57,2016_02_01_PC_Cedar_Rapids_Caucus.txt,5.95,0.71,0.91,4.22,1.27,8.98,0.45,1.27,0,2.15,4.06,3.12,1.21,0.37,5.93,0.39,2.18,0.88,4.64,0.94,1.41,1.33,2.3,1.13,6.37,1.72,1.61,0.39,16vsSanders,Clinton
58,2016_02_01_PC_Iowa_Caucus_Victory.txt,4.03,0,1.3,2.84,0.36,10.43,0.59,0.36,0,1.18,6.04,3.79,1.07,0.36,5.45,0.36,1.54,0.24,3.91,0.83,2.01,0.71,3.67,1.18,7.11,1.9,3.2,0.12,16vsSanders,Clinton
59,2016_02_03_PC_Closing_Townhall_Derry_NH.txt,4.42,0,0.83,2.21,0.83,8.01,0.83,0.55,0,1.93,4.14,1.66,3.31,0.28,8.01,0.28,1.93,0,2.49,1.38,0.83,3.04,1.66,1.66,8.84,3.04,2.76,0.55,16vsSanders,Clinton
60,2016_02_04_PC_Closing_MSNBC_Debate_NH.txt,2.3,0,1.53,4.21,0.38,12.64,0.38,1.92,0,0.77,4.6,1.92,1.92,0,5.36,0.38,3.45,0,4.21,1.53,1.92,1.53,2.68,1.53,6.9,1.53,1.15,1.53,16vsSanders,Clinton
61,2016_02_04_PC_Opening_MSNBC_Debate_NH.txt,2.73,0.45,1.36,3.64,0.91,8.64,0.91,0.91,0,0.45,5.91,2.73,1.36,0,4.55,0.45,3.18,0,5.91,1.36,0,0.45,2.27,3.18,6.82,0.91,1.82,1.36,16vsSanders,Clinton
62,2016_02_07_PC_Water_Flint.txt,3.16,0.34,1.15,5.27,1.29,10.53,0.81,1.01,0,1.68,3.26,4.16,0.67,0.19,4.88,0.53,2.01,1.48,4.69,1.53,1.68,1.2,2.58,0.77,6.8,1.1,1.91,0.34,16vsSanders,Clinton
63,2016_02_09_PC_NH_Primary_Loss.txt,5.01,0.14,0.74,3.86,1.49,10.77,0.41,1.02,0,1.49,3.86,3.25,1.29,0.34,5.69,0.47,1.9,0.47,3.72,1.02,1.08,1.42,2.98,1.29,8.06,1.08,2.44,0.54,16vsSanders,Clinton
64,2016_02_11_PC_Closing_PBS_Debate_Milwau.txt,5.51,0,1.75,4.01,0.5,13.03,0,2.01,0,1,3.76,2.26,1.5,0,4.01,0.25,1.25,0,5.76,1.75,0.25,1,1.75,3.51,6.52,1,1.5,2.01,16vsSanders,Clinton
65,2016_02_11_PC_Opening_PBS_Debate_Milwaukee.txt,4.58,0,1.15,4.96,0.76,13.36,0,1.53,0,1.91,3.82,2.29,2.67,0.38,3.82,0,2.29,0.76,6.87,1.15,0.76,1.15,2.29,1.53,5.34,1.53,3.05,0.76,16vsSanders,Clinton
