,Academic_Language [Low Frequency],Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative, Group
2016_04_23_PC_Work_Family_CT.txt,5.64,0.08,1.0,5.56,0.77,9.89,0.39,1.0,0.0,1.62,2.63,5.1,1.0,0.31,4.17,0.54,1.47,1.0,3.63,1.55,0.85,1.85,2.86,0.85,6.72,1.7,2.01,0.08,Clinton_08_16_Primary_Speeches
2016_04_26_PC_Manufacture_IN.txt,6.17,0.28,0.79,4.38,0.86,10.73,0.31,1.14,0.0,2.17,2.9,3.86,1.17,0.38,3.38,0.48,1.86,0.97,5.28,0.97,1.31,1.83,2.17,0.79,7.55,1.72,1.59,0.41,Clinton_08_16_Primary_Speeches
2016_04_26_PC_Unity_Phila.txt,4.32,0.67,1.04,4.26,1.22,10.72,0.43,1.95,0.0,1.1,1.89,2.68,1.28,0.12,4.08,0.3,1.89,0.61,5.91,0.85,1.28,1.89,5.05,0.85,7.49,1.4,3.29,0.55,Clinton_08_16_Primary_Speeches
2016_05_01_PC_NAACP_Detroit.txt,4.16,0.26,1.01,5.43,1.33,9.69,0.62,1.17,0.03,1.85,2.44,3.77,1.01,0.21,6.16,0.39,2.57,0.49,4.52,1.12,1.64,1.33,2.39,0.96,7.43,1.64,2.75,1.12,Clinton_08_16_Primary_Speeches
2016_05_03_PC_Jobs_OH.txt,6.39,0.34,0.74,4.9,1.01,9.65,0.51,1.4,0.0,1.66,2.71,3.26,1.35,0.3,4.53,0.6,2.71,0.6,4.9,1.04,1.19,1.47,2.41,0.97,7.5,1.49,2.51,0.39,Clinton_08_16_Primary_Speeches
2016_05_05_PC_Immigration_LA.txt,4.06,0.34,0.74,4.6,0.41,9.95,0.81,0.47,0.07,1.9,3.52,3.32,1.83,0.34,6.7,0.41,2.57,0.41,4.2,0.74,0.68,1.42,2.91,1.08,7.31,1.35,1.76,0.2,Clinton_08_16_Primary_Speeches
2016_05_09_PC_Work_Family_VA.txt,4.5,0.23,1.58,5.18,0.9,11.49,0.9,0.45,0.0,1.35,4.05,7.43,0.68,0.0,5.18,0.23,2.7,0.45,2.25,2.48,0.23,1.58,0.23,1.35,7.66,1.8,1.35,0.45,Clinton_08_16_Primary_Speeches
2016_05_10_PC_Family_Health_KY.txt,7.08,0.18,1.16,4.53,1.06,10.63,0.63,0.88,0.0,1.33,2.37,4.86,0.73,0.28,3.25,0.25,2.59,1.18,5.34,1.18,1.21,2.29,1.61,0.68,7.71,1.49,2.29,0.28,Clinton_08_16_Primary_Speeches
2016_05_21_PC_Circle_Mothers.txt,4.06,0.45,0.45,5.21,0.74,10.47,0.52,1.42,0.11,1.71,2.72,3.5,0.86,0.11,4.43,0.3,2.38,0.67,7.3,1.15,1.38,1.19,2.53,0.86,6.44,1.12,2.09,0.93,Clinton_08_16_Primary_Speeches
2016_05_23_PC_SEIU.txt,5.81,0.41,0.88,4.67,1.05,9.84,0.39,1.24,0.06,1.74,2.27,2.9,0.97,0.19,6.08,0.36,2.38,0.44,5.97,0.88,1.33,1.22,2.71,1.35,8.24,1.16,2.32,0.72,Clinton_08_16_Primary_Speeches
2016_05_26_PC_Infrastructure.txt,4.81,0.52,0.88,4.54,0.86,9.47,0.65,1.32,0.0,1.89,3.15,2.58,1.28,0.21,5.97,0.57,2.08,0.82,4.52,1.51,1.11,1.78,2.9,0.9,7.85,1.58,1.72,0.31,Clinton_08_16_Primary_Speeches
2016_06_03_PC_Natl_Sec.txt,4.47,0.26,0.89,4.19,1.04,10.6,0.55,2.04,0.0,1.75,1.64,3.77,0.81,0.15,4.66,0.34,2.11,0.72,4.94,1.4,1.32,1.34,4.09,1.7,8.71,1.62,2.06,0.74,Clinton_08_16_Primary_Speeches
2016_06_07_PC_Prim_Victory.txt,3.76,0.29,1.12,4.46,1.58,10.62,1.06,0.76,0.06,1.58,1.94,2.29,1.29,0.12,6.22,0.41,3.11,0.94,4.81,1.17,1.58,0.7,4.99,1.53,8.33,1.06,2.46,0.35,Clinton_08_16_Primary_Speeches
2016_06_10_PC_Planned_Parenthood.txt,6.12,0.13,0.6,4.23,1.07,9.09,0.35,0.95,0.03,1.96,1.29,3.19,0.92,0.19,4.29,0.19,2.97,0.92,6.63,1.23,1.99,1.58,2.56,1.7,7.1,1.26,2.78,0.57,Clinton_08_16_Primary_Speeches
2016_06_13_PC_Orlando.txt,4.12,0.32,0.84,4.01,0.61,12.48,0.49,2.62,0.0,1.93,1.96,2.97,1.12,0.29,4.21,0.26,2.56,0.78,4.87,1.24,1.59,1.12,4.73,2.1,6.69,1.67,2.54,0.66,Clinton_08_16_Primary_Speeches
2016_06_14_PC_Trump_Orlando.txt,4.12,0.35,0.76,4.31,0.95,10.2,0.44,1.72,0.03,1.85,2.24,3.44,1.01,0.35,4.8,0.57,2.32,1.12,5.32,1.39,1.23,1.15,3.52,1.94,7.97,1.12,2.07,0.79,Clinton_08_16_Primary_Speeches
