,X,Time,Comp.1
163,2016_02_09_PC_NH_Primary_Loss.txt,16vsSanders,1.246194472
262,2016_10_28_GE_Cedar_Rapids_IA.txt,16vsTrump,1.294076977
219,2016_07_25_GE_VFW_Charlotte.txt,16vsTrump,1.306133161
238,2016_08_17_GE_Jobs_Cleveland_OH.txt,16vsTrump,1.325257029
96,2008_06_01_PC_Stump_Puerto_Rico.txt,08vsObama,1.332293368
194,2016_04_23_PC_Incomes_RI.txt,16vsSanders,1.336457549
195,2016_04_23_PC_Work_Family_CT.txt,16vsSanders,1.345708912
205,2016_05_26_PC_Infrastructure.txt,16vsSanders,1.363715876
14,2007_03_14_PC_Domestic_Fire Fighters_Union.txt,08vsObama,1.38801627
168,2016_02_23_PC_Closing_SC_Debate.txt,16vsSanders,1.398732598
233,2016_08_08_GE_Small_Bus_FL.txt,16vsTrump,1.414256476
228,2016_07_31_GE_Econ_Columbus.txt,16vsTrump,1.433704472
255,2016_09_30_GE_Natl_Service_FL.txt,16vsTrump,1.455778547
223,2016_07_29_GE_Am_Manufact_Hatfield_PA.txt,16vsTrump,1.471022099
69,2008_02_12_PC_Stump_MA_VA_DC.txt,08vsObama,1.473418249
184,2016_04_09_PC_Brooklyn_Jobs_Barriers.txt,16vsSanders,1.545474605
108,2015_05_05__PC_Immigration_Nevada.txt,16vsSanders,1.552043282
73,2008_02_21_PC_Opening_Debate_TX.txt,08vsObama,1.644222783
109,2015_05_18_PC_Families_Iowa.txt,16vsSanders,1.648575743
182,2016_04_05_PC_Wisc_Primary.txt,16vsSanders,1.696973123
237,2016_08_16_GE_Voter_Reg_Phila_PA.txt,16vsTrump,1.703576011
115,2015_06_15_PC_Childhood_Ed.txt,16vsSanders,1.719519392
138,2015_11_09_PC_Am_Fed_Teachers.txt,16vsSanders,1.727552209
242,2016_09_05_GE_Salute_Labor_IL.txt,16vsTrump,1.749182265
77,2008_03_04_PC_Stump_OH_TX.txt,08vsObama,1.811112713
229,2016_08_01_GE_Buffett_NE.txt,16vsTrump,1.813531712
151,2015_12_29_PC_Town_Hall_Portsmouth_NH.txt,16vsSanders,1.8630891
105,2015_04_20_PC_Keene_NH.txt,16vsSanders,1.872425004
271,2016_11_03_GE_Raleigh_NC.txt,16vsTrump,1.879144975
191,2016_04_14_PC_CNN_Debate_Open.txt,16vsSanders,1.950071432
258,2016_10_11_GE_Ohio_State_Columbus_OH.txt,16vsTrump,1.961987576
123,2015_07_31_PC_National_Urban_League.txt,16vsSanders,1.967680733
250,2016_09_16_GE_Families_Greensboro_NC.txt,16vsTrump,2.07914807
129,2015_09_10_PC_Women_Org_OH.txt,16vsSanders,2.093625913
234,2016_08_10_GE_Jobs_Plan_IA.txt,16vsTrump,2.098410199
269,2016_11_01_GE_Ft_Lauderdale_DT.txt,16vsTrump,2.10310994
97,2008_06_03_PC_Stump_NY.txt,08vsObama,2.137341805
261,2016_10_27_GE_M_Obama_Appear_NC.txt,16vsTrump,2.139017775
254,2016_09_28_GE_Clinton_Sanders_NH.txt,16vsTrump,2.149288322
241,2016_09_05_GE_Labor_Festival_OH.txt,16vsTrump,2.150137816
158,2016_02_01_PC_Iowa_Caucus_Victory.txt,16vsSanders,2.192428456
224,2016_07_29_GE_Post_Convention.txt,16vsTrump,2.19825834
201,2016_05_09_PC_Work_Family_VA.txt,16vsSanders,2.209648839
186,2016_04_11_PC_Suffolk_CO.txt,16vsSanders,2.270093356
218,2016_07_22_GE_Anti_Trump_Tampa.txt,16vsTrump,2.284111517
175,2016_03_09_PC_Univision_Debate_Close.txt,16vsSanders,2.284145107
260,2016_10_20_GE_Al_Smith_Dinner_NY.txt,16vsTrump,2.289573945
270,2016_11_01_GE_Sanford_FL.txt,16vsTrump,2.319860377
266,2016_10_31_GE_Cincinnati_OH.txt,16vsTrump,2.35587599
56,2008_01_08_PC_Stump_NH_Primary.txt,08vsObama,2.366346058
200,2016_05_05_PC_Immigration_LA.txt,16vsSanders,2.410598274
274,2016_11_09_GE_Concession_NY.txt,16vsTrump,2.45527524
161,2016_02_04_PC_Opening_MSNBC_Debate_NH.txt,16vsSanders,2.472025087
226,2016_07_30_GE_21_Century_Econo_Pitt_PA.txt,16vsTrump,2.508243611
4,2007_01_20_PC_Domestic_Announcement.txt,08vsObama,2.527835661
263,2016_10_28_GE_Des_Moines_IA.txt,16vsTrump,2.530684013
248,2016_09_15_GE_Press_Conf_Return_NC.txt,16vsTrump,2.542142721
230,2016_08_03_GE_Public_Lands_CO.txt,16vsTrump,2.576870094
259,2016_10_19_GE_Closing_Debate_NV.txt,16vsTrump,2.582254801
190,2016_04_14_PC_CNN_Debate_Close.txt,16vsSanders,2.694570359
264,2016_10_28_GE_Press_Conf_Emails_IA.txt,16vsTrump,2.714956298
265,2016_10_29_GE_Jenn_Lopez_Miami_FL.txt,16vsTrump,2.787275485
91,2008_05_06_PC_Stump_IN.txt,08vsObama,2.815914201
227,2016_07_30_GE_Youngstown.txt,16vsTrump,2.859101576
173,2016_03_06_PC_CNN_Debate_Close.txt,16vsSanders,2.895864708
64,2008_01_29_PC_Stump_Florida.txt,08vsObama,3.047169644
273,2016_11_08_GE_Raleigh_NC_midnight.txt,16vsTrump,3.186490621
268,2016_11_01_GE_Dade_City_FL.txt,16vsTrump,3.2351665
62,2008_01_26_PC_Stump_SC.txt,08vsObama,3.357868385
7,2007_01_24_PC_Stump_Conversation.txt,08vsObama,3.556643767
139,2015_11_14_PC_Closing_State_Iowa_Debate.txt,16vsSanders,3.643543766
159,2016_02_03_PC_Closing_Townhall_Derry_NH.txt,16vsSanders,4.254378002
