,X,Academic_Language..Low.Frequency.,Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative,Name,Type 
85,2016_08_10_GE_Stump_VA_DT.txt,5,0.36,0.83,4.35,1.41,7.59,0.35,1.33,0.08,2.26,3.14,4.2,1.57,0.33,6.85,0.47,1.99,1.33,4.04,1.43,0.63,1.81,1.81,1.02,7.58,1.12,0.66,0.5,Trump,Trump
86,2016_08_11_GE_Evangel_Lead_FL_DT.txt,4.25,0.2,1.35,3.41,1.46,7.88,0.75,0.9,0.05,2.13,3.52,3.87,1.16,0.28,6.81,0.75,1.94,1.55,4.92,1.61,0.6,2.36,1.46,0.95,6.03,1.01,1.3,0.18,Trump,Trump
87,2016_08_11_GE_Homebuilders_FL_DT.txt,5.53,0.36,0.94,3.84,1.3,8.34,0.64,1.2,0.11,3.44,3.42,4.09,1.14,0.26,5.47,0.49,1.76,1.36,4.26,1.3,1.22,1.64,1.75,0.86,7.97,1.5,0.99,0.4,Trump,Trump
88,2016_08_12_GE_Altoona_PA_DT.txt,4.43,0.2,0.91,4.37,1.46,6.84,0.47,1.3,0.06,2.12,3.57,3.74,1.49,0.27,7.19,0.51,2.2,0.85,4.92,1.44,0.88,1.92,1.75,0.96,7.19,1.17,1.04,0.35,Trump,Trump
89,2016_08_12_GE_Erie_PA_DT.txt,4.49,0.21,1.14,4.14,1.52,6.9,0.49,1.22,0.04,1.93,3.2,3.63,1.86,0.27,7.96,0.36,2.18,1.06,4.6,1.25,0.95,1.51,2.11,0.74,7.24,1.32,0.97,0.38,Trump,Trump
90,2016_08_15_GE_Foreign_Policy_OH_DT.txt,4.68,0.78,0.6,4.41,0.78,11.35,0.31,3.41,0,2.63,1.43,3.41,1.23,0.18,5.02,0.38,2.86,1.38,4.91,1.36,1.8,0.51,2.79,1.65,7.96,1.32,1.61,0.94,Trump,Trump
91,2016_08_16_GE_Inner_Cities_DT.txt,4.62,0.4,0.49,3.58,1.01,11.64,0.52,2.14,0,2.05,2.05,2.39,1.56,0.21,5.94,0.18,2.45,0.64,6.49,0.83,3.03,0.24,2.82,1.38,7.9,1.56,2.2,1.68,Trump,Trump
92,2016_08_18_GE_Charlotte_NC_DT.txt,4.35,0.28,0.84,3.24,1.09,10.32,0.53,2.32,0.06,2.09,2.62,2.54,1.87,0.28,5.52,0.22,2.4,0.81,6.44,0.98,2.2,0.45,2.96,1.51,8.28,0.95,2.18,1.2,Trump,Trump
93,2016_08_19_GE_Af_Ams_MI_DT.txt,5.62,0.5,0.62,3.47,1.08,10.7,0.77,2.04,0.04,3.08,1.27,1.77,2.62,0.12,5.74,0.19,2.08,1.16,5.39,0.73,2.73,0.39,2.62,1.5,8.59,1.5,2.16,1.16,Trump,Trump
94,2016_08_20_GE_Party_Lincoln_VA_DT.txt,6.28,0.34,0.27,4.87,0.65,10.73,0.31,1.42,0.04,3.95,1.42,2.45,2.34,0.23,5.48,0.23,2.8,0.42,6.13,0.65,3.37,0.15,2.38,0.84,8.28,1.3,2.07,0.92,Trump,Trump
95,2016_08_22_GE_Law_Order_Akron_DT.txt,6.3,0.3,0.71,3.54,1.39,9.05,0.36,1.32,0,2.92,2.14,3.05,1.99,0.19,6.89,0.28,2.52,0.58,4.91,1.32,1.86,0.94,2.28,0.88,7.75,1.19,1.49,1.03,Trump,Trump
96,2016_08_23_GE_Austin_TX_DT.txt,5.5,0.36,0.56,3.91,1.19,8.24,0.46,1.53,0.02,3.32,1.67,2.72,2.13,0.29,7.84,0.29,1.88,0.88,4.97,0.9,1.67,1.21,2.88,1.36,6.86,1.09,1.9,1.28,Trump,Trump
97,2016_08_24_GE_Immigration_MS_DT.txt,5.09,0.29,0.33,4.31,0.86,11.01,0.49,1.97,0,2.18,1.23,2.14,2.34,0.08,5.96,0.25,2.26,0.66,6.49,1.03,2.71,0.25,2.51,1.03,9.37,1.27,2.55,1.03,Trump,Trump
98,2016_08_24_GE_Tampa_FL_DT.txt,6.06,0.23,0.51,3.75,1.13,10.44,0.7,1.41,0.04,4.26,1.29,1.64,2.97,0,5.32,0.12,2.19,0.47,5.63,0.51,3.36,0.35,2.42,1.02,8.92,1.41,2.35,1.45,Trump,Trump
99,2016_08_25_GE_Manchester_DT.txt,4.89,0.55,0.65,3.47,1.31,9.46,0.44,1.88,0.02,2.13,1.52,3.62,1.79,0.29,6.72,0.4,2.7,0.69,6,1.22,2.13,0.91,2.09,1.14,7.62,1.24,1.79,1.31,Trump,Trump
100,2016_08_27_GE_Joni_Earnst_Roast_IA_DT.txt,5.44,0.4,0.53,4.26,0.99,11.58,0.46,1.68,0.03,2.51,1.25,2.94,2.11,0.2,4.85,0.23,2.84,0.86,5.71,0.89,3.23,0.2,2.41,1.15,7.39,1.48,2.87,1.55,Trump,Trump
101,2016_08_30_GE_Everett_WA_DT.txt,4.62,0.53,0.76,3.96,1.13,9.34,0.78,1.76,0.1,2.36,1.85,2.89,2.22,0.23,6.83,0.41,2.55,1.13,4.97,1.19,1.91,1.03,2.87,0.86,7.45,0.98,1.81,0.64,Trump,Trump
102,2016_08_31_GE_Immigration_AZ_DT.txt,4.37,0.43,0.82,4.1,1.3,8.87,0.39,1.67,0.06,2.55,1.53,3.4,2.2,0.29,6.43,0.43,2.99,0.98,4.78,1.02,2.37,1.12,2.57,1.03,7.15,1.45,1.84,1.3,Trump,Trump
103,2016_08_31_GE_Press_Conf_Mexico_DT.txt,5.1,0.2,0.78,3.53,0.49,15.88,0.69,1.18,0.2,2.45,1.76,4.31,0.78,0.2,4.51,0.49,1.96,0.29,2.25,0.78,1.27,0.78,4.31,0.29,8.33,0.78,4.22,0.78,Trump,Trump
