"","X","Academic_Language..Low.Frequency.","Citation","Contingency","Descriptive","Directive","Elaborative_Syntax","Emotion_Positive","Emotion_Negative","Emotion_Surprise","Expository_Devices","FirstPerson","Forceful","Future","Inquiry","Interactive","Metadiscourse","Narrative","Past","Persons","Privy","Public","Reasoning","Relations_Positive","Relations_Negative","Reporting","Strategic","Values_Positive","Values_Negative","Name"
"209","2016_06_13_PC_Orlando.txt",4.12,0.32,0.84,4.01,0.61,12.48,0.49,2.62,0,1.93,1.96,2.97,1.12,0.29,4.21,0.26,2.56,0.78,4.87,1.24,1.59,1.12,4.73,2.1,6.69,1.67,2.54,0.66,"16vsSanders"
"210","2016_06_14_PC_Trump_Orlando.txt",4.12,0.35,0.76,4.31,0.95,10.2,0.44,1.72,0.03,1.85,2.24,3.44,1.01,0.35,4.8,0.57,2.32,1.12,5.32,1.39,1.23,1.15,3.52,1.94,7.97,1.12,2.07,0.79,"16vsSanders"
"211","2016_06_22_GE_Econ_Raleigh.txt",7.83,0.41,0.76,4.55,1.11,10.79,0.7,1.09,0.05,1.9,2.12,2.91,1.13,0.2,4.75,0.33,2.53,0.5,4.68,0.68,1.99,1.31,2.38,0.84,8.29,1.85,2.5,0.63,"16vsTrump"
"212","2016_07_01_GE_Victory_Brooklyn.txt",3.64,0.29,1.12,4.46,1.58,10.62,1.06,0.76,0.06,1.58,1.94,2.29,1.29,0.12,6.22,0.41,3.11,0.94,4.81,1.17,1.58,0.7,4.99,1.53,8.33,1.06,2.46,0.35,"16vsTrump"
"213","2016_07_05_GE_Obama_Charlotte.txt",5.07,0.27,0.64,4.22,1.28,11.27,0.8,0.59,0.11,1.82,2.24,2.88,1.12,0.16,4.17,0.53,2.35,0.75,5.34,0.64,2.51,1.34,3.37,1.66,7.37,1.55,2.03,0.27,"16vsTrump"
"214","2016_07_08_GE_AME_Violence.txt",2.96,0.62,1.18,4.3,1.4,9.78,0.5,1.81,0,1.9,1.93,3.52,0.93,0.47,6.98,0.4,2.74,0.78,5.51,1.37,1.59,0.9,3.55,0.97,6.76,1.18,2.83,0.65,"16vsTrump"
"215","2016_07_12_GE_Sanders_NH.txt",4.82,0.3,0.61,4.39,0.82,10.06,0.52,1.04,0.06,2.13,1.89,3.2,1.31,0.09,4.42,0.34,3.11,0.52,4.97,0.7,2.01,1.8,3.54,1.37,7.38,1.83,1.89,0.73,"16vsTrump"
"216","2016_07_13_GE_Am_Values_IL.txt",4.46,0.29,1.01,4.22,1.14,10.49,0.5,1.65,0,1.75,1.38,3.53,0.82,0.32,3.85,0.37,2.76,1.09,4.97,1.7,1.65,1.41,3.35,1.57,7.57,1.06,2.74,0.64,"16vsTrump"
"217","2016_07_18_GE_NAACP_Cincinn.txt",4.83,0.52,1.01,5.02,0.82,9.9,0.68,1.55,0.03,2.54,1.83,3.71,0.74,0.33,4.45,0.27,2.54,0.68,5.1,0.9,1.55,1.75,2.73,1.12,7.25,1.45,2.51,0.65,"16vsTrump"
"218","2016_07_22_GE_Anti_Trump_Tampa.txt",3.78,0.15,1.02,2.99,1.17,9,0.57,1.51,0,1.93,3.63,3.52,1.25,0.11,6.69,0.53,1.93,0.76,5.94,1.4,0.53,0.91,3.18,0.87,8.7,0.83,2.31,0.26,"16vsTrump"
